url,brewery,name
https://www.ratebeer.com/beer/harveys-sussex-wild-hop/223230/,HARVEYS,Wild Hop
https://www.ratebeer.com/beer/harveys-sussex-best-bitter-cask/4369/,HARVEYS,Sussex Best Bitter
https://www.ratebeer.com/beer/harveys-armada-ale-cask/4357/,HARVEYS,Armada Ale
,HIGHLAND BREWING,Orkney Blast
https://www.ratebeer.com/beer/holsworthy-great-english-hops/532258/,HOLSWORTHY,Great English Hops
,HOLSWORTHY,Bang On
,HOLSWORTHY,Roar With Pride
https://www.ratebeer.com/beer/hop-back-gfb-gilberts-first-brew/1239/,HOPBACK,GFB
https://www.ratebeer.com/beer/hop-fuzz-the-english/170173/,HOP FUZZ,The English
https://www.ratebeer.com/beer/hopdaemon-skrimshander/15420/,HOPDAEMON,Skrimshander IPA
https://www.ratebeer.com/beer/humpty-dumpty-lemon-ginger-ale/16201/,HUMPTY DUMPTY,Lemon & Ginger
,ISCA,Blonde
https://www.ratebeer.com/brewers/isca-ales--gargoyles/8027/,ISCA,Dawlish Bitter
https://www.ratebeer.com/beer/gargoyles-holcombe-white/151777/,ISCA,Holcombe White
https://www.ratebeer.com/beer/isca-dawlish-ale/471928/,ISCA,Dawlish Pale
https://www.ratebeer.com/brewers/isca-ales--gargoyles/8027/,ISCA,Trumped
https://www.ratebeer.com/beer/jennings-cocker-hoop-bottle/5635/,JENNINGS,Cocker Hoop
https://www.ratebeer.com/beer/kelham-island-riders-on-the-storm/65997/,KELHAM ISLAND,Riders on the Storm
https://www.ratebeer.com/beer/kelham-island-pale-rider/12729/,KELHAM ISLAND,Pale Rider
https://www.ratebeer.com/beer/kent-zingiber/134959/,KENT,Zingiber
,KENT,Cobnut
https://www.ratebeer.com/brewers/kew-brewery/23350/,KEW,Micro Beer
https://www.ratebeer.com/beer/kew-green-black/354293/,KEW,Kew Green (& Black)
,KEW,Pagoda #5
https://www.ratebeer.com/beer/kew-petersham-porter/369771/,KEW,Petersham Porter
https://www.ratebeer.com/beer/kew-richmond/348888/,KEW,Richmond Rye
,KEW,Sandycombe
https://www.ratebeer.com/brewers/kew-brewery/23350/,KEW,Fruitbat
https://www.ratebeer.com/beer/kirkby-lonsdale-jubilee/102561/,KIRKBY LONSDALE,Jubilee Stout
https://www.ratebeer.com/beer/leeds-midnight-bell/77331/,LEEDS,Midnight Bell
